Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Masculino,De 35 a 39 ,Chimborazo,Riobamba,Rural,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Ecuador,Ingenieria y profesiones afines,2014,Convocatoria abierta,Primaria,Secundaria,,Becario retornado,Chimborazo,Riobamba,Urbano,2019,0-2 meses,5,De 1 a 3 ,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,Es posible que tenga problemas con la senescyt ya que me he quedado desempleado 6 meses
Femenino,De 25 a 29 ,Carchi,Bolivar (Carchi),Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2012,Convocatoria abierta,Primaria,Primaria,,Becario retornado,Carchi,Bolivar (Carchi),Urbano,2019,3-6 meses,5,No tenia experiencia,Muy contento(a),aumentado,No,Me quedaria en el Ecuador,Si,Liquidacion de Beca,No,No,No,
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,Belgium,Medio ambiente,2012,Convocatoria abierta,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,3,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo,permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion financiera. No sa© sus razones pero mis documentos esta¡n en regla ,No,No,No,no
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Pregrado - tercer nivel,Especialidades ma©dicas,Brazil,Salud,2019,Becas internacionales,Secundaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Maestria,Maestria,United Kingdom,Salud,2015,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2016,10-12 meses,2,Menos de 1 año,Descontento(a) por no tener estabilidad,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Rural,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Hungary,Ciencias biologicas y afines,2016,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Rural,2018,0-2 meses,4,De 1 a 3 ,Contento(a),aumentado,No,Me quedaria en el Ecuador,No,,No,No,No,Estoy por terminar mi compensacion y temo que el proceso se quede estancando por el cambio de IFTH a Senescyt
Masculino,De 35 a 39 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,United Kingdom,Ciencias fisicas,2012,Convocatoria abierta,Primaria,Pregrado - tercer nivel,,Becario retornado,Loja,Loja,Urbano,2018,0-2 meses,5,De 1 a 3 ,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Masculino,De 30 a 34 ,Imbabura,Ibarra,Urbano,Publico,En el exterior sin beca Senescyt,Maestria,Maestria,Spain,Ciencias sociales y del comportamiento,2015,Cooperacion,Secundaria,Secundaria,,Becario retornado,Imbabura,Ibarra,Urbano,2016,3-6 meses,5,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,No,,No,No,No,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Medio ambiente,2011,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Napo,Tena,Urbano,2013,3-6 meses,5,De 1 a 3 ,Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Devolucion de pagara© aunque el Acta de Finiquito ya ha sido firmada. ,No,No,,
Masculino,De 35 a 39 ,El Oro,Machala,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Doctorado PhD;Maestria,Brazil,Agricultura,2015,Docentes Universitarios,Pregrado - tercer nivel,Maestria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 25 a 29 ,Imbabura,Cotacachi,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2012,Cooperacion,No culmino la primaria,No culmino la primaria,,Becario retornado,Imbabura,Cotacachi,Rural,2019,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Australia,Medio ambiente,2014,Excelencia,Secundaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2016,3-6 meses,4,De 1 a 3 ,Muy contento(a);Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad,aumentado,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,"Pagua© la mitad de mi liquidacion y desde que me notificaron y realica© el primer pago (noviembre 2017) no me han respondido sobre la recepcion del pago ni sobre un convenio para el pago que solicita©. He enviado ma¡s de 3 cartas sobre el tema y aun no recibo respuesta. Debido a mi inestabilidad laboral desde que llegua©, tampoco he insistido en el tra¡mite. ",No,No,No,"Solamente la inestabilidad laboral, he pasado largos periodos sin trabajar, para justificar en el IFTH en ocasiones he emitido facturas por ""trabajos"" que no he realizado porque cuando se trabaja por servicios profesionales es dificil justificar todos los meses. Me parece injusto que se pida compensacion en trabajo cuando es claro que ningun becario quiere estar desempleado. Tambia©n hay un limite de meses para voluntariados y ciertas actividades, aunque esto tambia©n ha facilitado un poco la compensacion. La pregunta sobre si me quedaria en Ecuador o no es compleja, depende del trabajo y las condiciones pero lo que yo estudia© desearia aplicarlo siempre en el pias, los temas educativos y ambientales son de lo que ma¡s se debe fortalecer aqui."
Femenino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD,Spain,Ciencias sociales y del comportamiento,2011,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Urbano,2017,0-2 meses,5,De 3 a 5 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Informe de compensacion ,No,No,No,
Masculino,De 25 a 29 ,Imbabura,Ibarra,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Honduras,Medio ambiente,2012,Convocatoria abierta,Doctorado PhD,Doctorado PhD,,Becario retornado,El Oro,Machala,Urbano,2015,+12 meses,2,No tenia experiencia,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por posibles accidentes;Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,disminuido,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,"Cambio de titulo adquirido en el contrato inicial (la Universidad cambio el nombre de la Ingenieria y el senescyt quiere que vuelva a hacer otro contrato, pero con nuevas cla¡usulas. Yo no estoy de acuerdo) ",Si,No,"Si, porque no encontra© trabajo en el plazo establecido",Los tra¡mites en la senescyt e ifth son ridiculamente engorrosos y paupa©rrimos. Me perdieron 4 veces la documentacion presentada 
Masculino,De 30 a 34 ,Guayas,Guayaquil,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2013,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2018,10-12 meses,4,Menos de 1 año,Descontento(a) por no tener estabilidad,permanecido iguales,Si,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor,Si,Liquidacion y traspaso de partida presupuestaria,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Discapacidad
Femenino,De 25 a 29 ,Cotopaxi,La Mana¡,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2012,Convocatoria abierta,Primaria,No culmino la primaria,,Becario retornado,Pichincha,Pichincha,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,No sa© aun,Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Cuanto tendria que devolver de la beca,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Spain,Veterinaria,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,"5to desembolso, envio de justificantes por pre-liquidacion por razones no justificadas del 4to desembolso.",No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2014,Convocatoria abierta,Secundaria,Pregrado - tercer nivel,,Becario retornado,Manabi,Portoviejo,Urbano,2016,3-6 meses,4,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,liquidacion ,No,No,No,hicieron mal mi liquidacion 
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Hungary,Agricultura,2017,Globo comun ,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,4,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,Si deberiamos los becarios retornados tener facilidades de cra©ditos para empezar algun negocio o algo es cierto q parte de nuestra formacion es para hacernos emprendedores pero si aplicamos a una beca para estudiar es xq no tenemos el nivel monetario como para empezar de un dia a otro un negocio o algo 
Femenino,De 30 a 34 ,Pichincha,Quito,Rural,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2015,Convocatoria abierta,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Rural,2016,+12 meses,3,De 3 a 5 ,Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,Si,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ingenieria y profesiones afines,2013,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,7-9 meses,1,No tenia experiencia,Descontento(a) por horarios inconvenientes;Descontento(a) por sobrecarga de trabajo;Descontento(a) por pocas posibilidades de progreso;Descontento(a) por malas relaciones laborales,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Nunca responden a los envios de formularios de compensacion
Masculino,De 30 a 34 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Pregrado - tercer nivel,Especialidades ma©dicas,Cuba,Salud,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,Si,,No,No,No,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Australia,Medio ambiente,2014,Excelencia,Maestria,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2016,10-12 meses,2,De 1 a 3 ,Descontento(a) por ingresos bajos,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Informe de compensacion,No,No,No,"No, ninguno."
Femenino,De 30 a 34 ,Azuay,Cuenca,Urbano,Fiscomisional,En Ecuador en una universidad privada,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Educacion,2013,Convocatoria abierta,Especialidades ma©dicas,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2017,0-2 meses,4,De 3 a 5 ,Descontento(a) por no tener estabilidad,aumentado,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 40 a 50 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Agricultura,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Loja,Loja,Urbano,2018,+12 meses,3,Menos de 1 año,Descontento(a) por ingresos bajos;Descontento(a) por muchas horas de trabajo;Descontento(a) por sobrecarga de trabajo;Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,Me deben dar un dinero que quedo pendiente y no me quisieron dar porque adujeron que requerian la fecha de graduacion. Y ahora no liquidan porque caduco el tra¡mite. 
Masculino,De 30 a 34 ,Exterior,Exterior,Urbano,En el exterior,En el exterior sin beca Senescyt,Maestria,Maestria,United Kingdom,Otro,2015,Excelencia,Secundaria,Secundaria,,Becario retornado,Guayas,Guayaquil,Urbano,2018,7-9 meses,4,De 3 a 5 ,Contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Femenino,De 25 a 29 ,Napo,Tena,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2010,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Napo,Tena,Urbano,2018,Todavia no consigue empleo,,De 3 a 5 ,,,Si,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Impedimento laboral por parte del examen caces
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Argentina,Derecho,2014,Excelencia,Secundaria,Secundaria,,Becario retornado,Imbabura,Ibarra,Urbano,2017,7-9 meses,1,De 3 a 5 ,Descontento(a) por sobrecarga de trabajo;Descontento(a) por ambiente perjudicial;Descontento(a) por pocas posibilidades de progreso,permanecido iguales,No sa© aun,Me quedaria en el Ecuador,Si,Ampliacion de plazo de contrato sin financiamiento ,No,No,,Falta de respuesta solicitudes y esto conlleva a no tener certezas respecto de posibles terminaciones unilaterales 
Masculino,De 30 a 34 ,Imbabura,Ibarra,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Brazil,Ingenieria y profesiones afines,2012,Convocatoria abierta,Primaria,Primaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion y solicitud de compensacion excepcional en el extranjero. Ma¡s de 1 año sin respuesta.,No,No,"Si, porque me encuentro en el exterior",RevisiÃ_n mis justificativos para el siguiente desembolso y el correspondiente desembolso. 
Masculino,De 18 a 24 ,Tungurahua,Ambato,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Agricultura,2018,GAR,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,,
Femenino,De 25 a 29 ,Napo,Tena,Urbano,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Venezuela,Salud,2010,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Napo,Tena,Urbano,2018,Todavia no consigue empleo,,De 3 a 5 ,,,Si,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Impedimento laboral por parte del examen caces
